ID,Left eye tracking error degrees,Right eye tracking error degrees,Age years,Inter pupillary distance mm,Gender,Eye colour,Skin tone,Ethnic background,Makeup,Dominant eye,Eyewear type,Eyewear lens type,Eyewear frame type,Eyewear frame thickness,Eyewear lens height,Eyewear coating anti-reflective,Eyewear coating anti-scratch,Eyewear coating anti-fog,Eyewear coating anti-UV,Eyewear coating anti-smudge,Eyewear coating blue-filter
ID0672,0.646067,1.03635,49,68,male,blue,light,europe,no makeup,left,Eyeglasses,Single-vision,Full,Thick,Low,Yes,Yes,,,,
ID0673,0.938464,0.527983,37,67.5,female,brown,dark,Horn & Sub-Saharan Africa,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0674,1.01184,0.557729,34,60.5,male,green,light,europe,no makeup,right,Eyeglasses,Single-vision,Full,Narrow,High,,Yes,,,,
ID0675,0.524874,0.581977,60,65.5,Female,green,light,Europe,light eye-makeup,right,Eyeglasses,Bifocals,Full,Medium,Normal,Yes,Yes,,,,
ID0676,1.85072,1.47939,49,63.5,male,Blue/Grey,light,europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0677,0.905476,0.911935,30,63,male,brown,light,South Asia,no makeup,left,Eyeglasses,Single-vision,Full,Narrow,Normal,,,,,,Yes
ID0678,0.839974,1.65855,53,59,female,Green,light,europe,no makeup,right,Eyeglasses,Bifocals,Full,Medium,Normal,Yes,Yes,,,,
ID0679,0.77351,1.67465,59,62,male,blue,light,europe,no makeup,left,Eyeglasses,Bifocals,Full,Medium,Normal,Yes,,,,,
ID0680,1.17601,1.08984,31,68,male,blue,light,Europe,no makeup,left,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0681,0.756119,0.593664,40,63,male,blue-grey,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
ID0683,1.32949,1.16191,32,65,male,green,light,Europe,no makeup,right,Eyeglasses,Single-vision,Full,Medium,Normal,Yes,Yes,,,,
ID0684,0.779799,1.09201,58,70,male,brown,light,europe,no makeup,left,Eyeglasses,Single-vision,Full,Medium,Low,,,,,,
ID0685,0.893743,0.938401,49,65.5,male,blue,light,Europe,no makeup,right,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear,No-eyewear
